Archivo,Centroide Espectral,Ancho de Banda Espectral,Roloff Espectral,Flatness Espectral,Magnitud Promedio Fourier,ZCR Promedio,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,Tipo de Voz
ANDRES-ARTIFICIAL-HOMBRE_12.wav,2626.6832755096343,2192.120752035499,4582.234942974822,0.13139273,0.4333869,0.19388434059261658,-309.83868,66.56868,12.546499,15.228096,12.430121,9.19342,-17.423265,-0.08191803,-17.842512,-8.017237,-8.835789,-4.786838,-6.309315,-4.3999677,-1.7783926,-0.3691192,-9.623985,-2.6375692,-1.5072436,-3.848975,artificial
ANDRES-ARTIFICIAL-HOMBRE_12_noise.wav,3558.4520512844974,2811.0314567951204,6658.780460654145,0.12559009,0.50593644,0.25601496721178757,-217.77791,45.895958,15.050281,11.535955,9.632122,6.365992,-13.053274,-3.4502144,-14.564747,-7.4744134,-9.031281,-3.1592588,-7.178599,-3.6851547,-3.3848352,-0.024651028,-8.389898,-1.4302562,-3.2588081,-2.1458225,artificial
ANDRES-ARTIFICIAL-HOMBRE_12_pitch.wav,2694.2581834505763,2381.0468942309712,4898.692139936852,0.057720985,0.31104025,0.17698740588568654,-325.5676,71.117226,14.797259,12.952849,12.8204975,4.1216183,-21.018549,-3.5857565,-22.123016,-7.0044374,-9.971893,-4.2939835,-7.64918,-3.6926095,-1.87036,-3.0335712,-11.020892,0.2240259,-3.2616012,-4.3301725,artificial
ANDRES-ARTIFICIAL-HOMBRE_12_shift.wav,2647.8500817920713,2204.334530406995,4611.271295893378,0.13106315,0.43340623,0.19273321122085493,-309.96222,66.58605,12.519253,15.218398,12.426317,9.18675,-17.450218,-0.083445296,-17.865498,-8.023446,-8.817732,-4.7810063,-6.3068557,-4.399056,-1.7681004,-0.36999658,-9.617351,-2.6309967,-1.5017987,-3.8426406,artificial
ANDRES-ARTIFICIAL-HOMBRE_15.wav,1829.27186481914,1653.968435611376,3350.670752168227,0.1377763,0.38659453,0.10849265212004405,-342.57562,105.46071,-16.288399,25.26231,11.199981,3.4741404,-3.278341,-4.4888964,-15.425193,-2.592329,-12.537402,-3.9092503,-1.4108216,-5.411501,-7.133124,10.6474495,-7.557193,-6.023079,0.5474408,-2.3704896,artificial
ANDRES-ARTIFICIAL-HOMBRE_15_noise.wav,3660.328219607044,3030.948240168452,7236.503260944383,0.21337426,0.56409234,0.2557238608204846,-184.44223,47.77142,8.212857,11.451616,9.497069,2.5051315,-2.7707314,-7.4936485,-8.829417,-7.0134892,-7.2256713,-4.199845,-1.5750057,-5.9408026,-2.6649547,3.1489034,-3.3867593,-5.056954,-0.1677689,-3.0059175,artificial
ANDRES-ARTIFICIAL-HOMBRE_15_pitch.wav,2056.4299862004445,1909.7683533506574,3870.0573031387667,0.06667904,0.27605852,0.12116817524779736,-353.29684,105.98388,-15.814598,25.505926,9.185802,0.19885619,-5.043053,-9.901774,-14.631833,-4.492277,-11.480665,-3.5316248,-0.82235044,-8.151327,-1.0459858,7.3023386,-11.622482,-4.143665,1.0517216,-8.439927,artificial
ANDRES-ARTIFICIAL-HOMBRE_15_shift.wav,1830.5266133954806,1656.9946104938574,3353.4786059677863,0.1378349,0.3866639,0.10843500481828194,-342.49734,105.556694,-16.179363,25.205173,11.130932,3.4608603,-3.3139584,-4.5043726,-15.461096,-2.6455019,-12.536952,-3.8966956,-1.4018995,-5.3827195,-7.1302166,10.616909,-7.519953,-5.9910583,0.5554656,-2.3662667,artificial
ANDRES-ARTIFICIAL-HOMBRE_16.wav,2253.7010969254106,2041.3255031828787,3928.4353944005575,0.1371554,0.4344761,0.1310566236833953,-302.74606,81.20195,9.561915,16.415483,13.507969,-4.645403,-7.5575023,-7.8576035,-12.06455,-7.9768233,-13.6652,0.3172906,-11.214735,0.4810006,1.0874722,-6.5517774,-5.582449,1.3738075,-8.410705,-1.064298,artificial
ANDRES-ARTIFICIAL-HOMBRE_16_noise.wav,3711.4008226627534,3026.5084994442946,7486.88393064591,0.13373779,0.62012744,0.25537169880731103,-173.50496,42.06342,14.413072,11.580959,5.6351557,0.77001566,-10.283423,-4.8901644,-10.987314,-6.935938,-9.037073,-2.5639286,-7.91323,-0.26079288,-2.6114404,-2.133735,-5.8010864,0.5108099,-5.6992345,-2.0294461,artificial
